[0.000000] (-) TimerEvent: {}
[0.000162] (-) JobUnselected: {'identifier': 'action_tutorials_cpp'}
[0.000198] (-) JobUnselected: {'identifier': 'action_tutorials_py'}
[0.000225] (-) JobUnselected: {'identifier': 'composition'}
[0.000248] (-) JobUnselected: {'identifier': 'demo_nodes_cpp'}
[0.000270] (-) JobUnselected: {'identifier': 'demo_nodes_cpp_native'}
[0.000292] (-) JobUnselected: {'identifier': 'demo_nodes_py'}
[0.000314] (-) JobUnselected: {'identifier': 'dummy_map_server'}
[0.000336] (-) JobUnselected: {'identifier': 'dummy_robot_bringup'}
[0.000357] (-) JobUnselected: {'identifier': 'dummy_sensors'}
[0.000378] (-) JobUnselected: {'identifier': 'image_tools'}
[0.000400] (-) JobUnselected: {'identifier': 'intra_process_demo'}
[0.000421] (-) JobUnselected: {'identifier': 'lifecycle'}
[0.000442] (-) JobUnselected: {'identifier': 'lifecycle_py'}
[0.000463] (-) JobUnselected: {'identifier': 'logging_demo'}
[0.000484] (-) JobUnselected: {'identifier': 'my_robot_bringup'}
[0.000505] (-) JobUnselected: {'identifier': 'my_robot_description'}
[0.000526] (-) JobUnselected: {'identifier': 'pendulum_control'}
[0.000548] (-) JobUnselected: {'identifier': 'pendulum_msgs'}
[0.000569] (-) JobUnselected: {'identifier': 'quality_of_service_demo_cpp'}
[0.000590] (-) JobUnselected: {'identifier': 'quality_of_service_demo_py'}
[0.000611] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.000632] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.000654] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.000675] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.000696] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.000716] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.000746] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.000768] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.000788] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.000809] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.000899] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.000945] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.000959] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.000968] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.000980] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.000988] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.000995] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.001003] (-) JobUnselected: {'identifier': 'topic_monitor'}
[0.001011] (-) JobUnselected: {'identifier': 'topic_statistics_demo'}
[0.001019] (-) EventReactorShutdown: {}
