[0.000000] (-) TimerEvent: {}
[0.000148] (-) JobUnselected: {'identifier': 'my_robot_bringup'}
[0.000181] (-) JobUnselected: {'identifier': 'my_robot_description'}
[0.000205] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.000227] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.000247] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.000270] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.000297] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.000327] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.000350] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.000370] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.000389] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.000409] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.000571] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.000599] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.000609] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.000618] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.000626] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.000634] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.000641] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.000651] (-) EventReactorShutdown: {}
